ISP CET/CEST,Area,Reserve Type,Source,Type of Product,Price Type,Price Up (EUR/MWh),Price Down (EUR/MWh)
06/06/2024 12:00:00 - 06/06/2024 12:15:00,SCA|FR,aFRR LS,Not Specified,Standard,AVERAGE,-20.80,21.36
06/06/2024 12:15:00 - 06/06/2024 12:30:00,SCA|FR,aFRR LS,Not Specified,Standard,AVERAGE,-20.80,43.83
06/06/2024 12:30:00 - 06/06/2024 12:45:00,SCA|FR,aFRR LS,Not Specified,Standard,AVERAGE,-20.80,64.86
06/06/2024 12:45:00 - 06/06/2024 13:00:00,SCA|FR,aFRR LS,Not Specified,Standard,AVERAGE, ,19.96
06/06/2024 13:00:00 - 06/06/2024 13:15:00,SCA|FR,aFRR LS,Not Specified,Standard,AVERAGE,0.66,22.83
06/06/2024 13:15:00 - 06/06/2024 13:30:00,SCA|FR,aFRR LS,Not Specified,Standard,AVERAGE,-1.68, 
06/06/2024 13:30:00 - 06/06/2024 13:45:00,SCA|FR,aFRR LS,Not Specified,Standard,AVERAGE,29.57, 
06/06/2024 13:45:00 - 06/06/2024 14:00:00,SCA|FR,aFRR LS,Not Specified,Standard,AVERAGE,-2.51,19.40
06/06/2024 14:00:00 - 06/06/2024 14:15:00,SCA|FR,aFRR LS,Not Specified,Standard,AVERAGE,-78.20,39.74
06/06/2024 14:15:00 - 06/06/2024 14:30:00,SCA|FR,aFRR LS,Not Specified,Standard,AVERAGE,-78.20,49.81
06/06/2024 14:30:00 - 06/06/2024 14:45:00,SCA|FR,aFRR LS,Not Specified,Standard,AVERAGE,8.43,66.10
06/06/2024 14:45:00 - 06/06/2024 15:00:00,SCA|FR,aFRR LS,Not Specified,Standard,AVERAGE,-10.29,54.49
06/06/2024 15:00:00 - 06/06/2024 15:15:00,SCA|FR,aFRR LS,Not Specified,Standard,AVERAGE,10.83, 
06/06/2024 15:15:00 - 06/06/2024 15:30:00,SCA|FR,aFRR LS,Not Specified,Standard,AVERAGE,-22.32,19.40
06/06/2024 15:30:00 - 06/06/2024 15:45:00,SCA|FR,aFRR LS,Not Specified,Standard,AVERAGE,-26.86,19.40
06/06/2024 15:45:00 - 06/06/2024 16:00:00,SCA|FR,aFRR LS,Not Specified,Standard,AVERAGE,-33.95,19.40
06/06/2024 16:00:00 - 06/06/2024 16:15:00,SCA|FR,aFRR LS,Not Specified,Standard,AVERAGE,-78.20,15.63
06/06/2024 16:15:00 - 06/06/2024 16:30:00,SCA|FR,aFRR LS,Not Specified,Standard,AVERAGE, ,11.64
06/06/2024 16:30:00 - 06/06/2024 16:45:00,SCA|FR,aFRR LS,Not Specified,Standard,AVERAGE, ,2.56
06/06/2024 16:45:00 - 06/06/2024 17:00:00,SCA|FR,aFRR LS,Not Specified,Standard,AVERAGE, ,-9.25
06/06/2024 17:00:00 - 06/06/2024 17:15:00,SCA|FR,aFRR LS,Not Specified,Standard,AVERAGE,-14.07,15.75
