Date;Heure;UTC;Besoin en aFRR hausse exprimé par RTE à la plateforme PICASSO (en MW);Besoin en aFRR baisse exprimé par RTE à la plateforme PICASSO (en MW);Volume d'aFRR à la hausse activé pour la France par la plateforme PICASSO (en MW);Volume d'aFRR à la baisse activé pour la France par la plateforme PICASSO (en MW);Prix Moyen Pondéré d'aFRR activée à la hausse pour la France (en Euros/MWh);Prix Moyen Pondéré d'aFRR activée à la baisse pour la France (en Euros/MWh);Volume d'offres d'aFRR déposées et matchées à la hausse (en MW);Volume d'offres d'aFRR déposées et matchées à la baisse (en MW);Volume d'aFRR à la hausse activé en France par la plateforme (en MW);Volume d'aFRR à la baisse activé en France par la plateforme (en MW);Volume d'offres d'aFRR indisponibles à la hausse (en MW);Volume d'offres d'aFRR indisponibles à la baisse (en MW);Prix moyen Pondéré des offres d'aFRR déposées à la hausse (en Euros/MWh);Prix moyen Pondéré des offres d'aFRR déposées à la baisse (en Euros/MWh)
06/06/2024;11:15:00 - 11:30:00;UTC +02:00;101;45;46;6;-17.86;19.40;710;710;46;6;0;0;16.25;4.00
06/06/2024;11:30:00 - 11:45:00;UTC +02:00;1;258;0;261;-20.80;12.77;705;705;0;261;0;0;15.86;3.51
06/06/2024;11:45:00 - 12:00:00;UTC +02:00;0;240;0;211;-20.80;14.18;705;705;0;211;0;0;15.86;3.50
06/06/2024;12:00:00 - 12:15:00;UTC +02:00;236;5;5;70;-20.14;20.83;757;757;5;70;0;0;16.58;5.93
06/06/2024;12:15:00 - 12:30:00;UTC +02:00;94;11;0;11;-9.66;44.85;757;757;0;11;0;0;15.89;5.23
06/06/2024;12:30:00 - 12:45:00;UTC +02:00;586;0;8;1;-19.07;12.60;757;757;8;1;0;0;15.89;6.14
06/06/2024;12:45:00 - 13:00:00;UTC +02:00;60;151;0;108;0;19.84;757;757;0;108;0;0;15.89;6.14
06/06/2024;13:00:00 - 13:15:00;UTC +02:00;743;0;100;23;0.38;12.93;736;736;100;23;0;0;14.37;3.48
06/06/2024;13:15:00 - 13:30:00;UTC +02:00;775;0;159;0;-3.28;19.40;716;716;159;0;0;0;13.48;3.27
06/06/2024;13:30:00 - 13:45:00;UTC +02:00;1082;0;307;0;26.00;38.96;756;756;307;0;0;0;10.12;0.88
06/06/2024;13:45:00 - 14:00:00;UTC +02:00;577;0;142;11;-0.79;19.40;756;756;142;11;0;0;9.92;0.25
06/06/2024;14:00:00 - 14:15:00;UTC +02:00;953;0;6;2;-67.24;37.15;774;774;6;2;0;0;11.79;1.71
06/06/2024;14:15:00 - 14:30:00;UTC +02:00;622;0;0;5;-60.67;34.53;774;774;0;5;0;0;11.39;1.30
06/06/2024;14:30:00 - 14:45:00;UTC +02:00;492;0;185;0;8.75;66.10;763;763;185;0;0;0;11.25;1.03
06/06/2024;14:45:00 - 15:00:00;UTC +02:00;290;0;141;0;-10.98;66.10;763;763;141;0;0;0;11.67;1.89
06/06/2024;15:00:00 - 15:15:00;UTC +02:00;748;0;293;0;10.20;19.40;763;763;293;0;0;0;9.87;-0.66
06/06/2024;15:15:00 - 15:30:00;UTC +02:00;507;0;70;18;-18.79;18.92;763;763;70;18;0;0;9.87;-0.65
06/06/2024;15:30:00 - 15:45:00;UTC +02:00;290;0;13;0;-25.16;12.77;763;763;13;0;0;0;9.87;-0.65
06/06/2024;15:45:00 - 16:00:00;UTC +02:00;82;18;43;0;-30.80;19.40;763;763;43;0;0;0;9.87;-0.65
06/06/2024;16:00:00 - 16:15:00;UTC +02:00;18;112;1;73;-7.58;15.25;864;864;1;73;0;0;12.10;2.38
06/06/2024;16:15:00 - 16:30:00;UTC +02:00;2;221;0;199;-78.20;11.68;814;814;0;199;0;0;11.66;1.34
06/06/2024;16:30:00 - 16:45:00;UTC +02:00;0;515;0;440;-78.20;2.57;842;842;0;440;0;0;12.36;2.38
06/06/2024;16:45:00 - 17:00:00;UTC +02:00;5;533;0;640;-78.20;-8.55;842;842;0;640;0;0;12.46;1.78
06/06/2024;17:00:00 - 17:15:00;UTC +02:00;313;10;95;82;-14.79;12.99;864;864;95;82;0;0;14.35;3.12
06/06/2024;17:15:00 - 17:30:00;UTC +02:00;26;83;27;51;-17.84;22.80;759;759;27;51;0;0;13.83;0.81
06/06/2024;17:30:00 - 17:45:00;UTC +02:00;23;91;0;58;-20.80;30.32;796;796;0;58;0;0;21.05;6.59
06/06/2024;17:45:00 - 18:00:00;UTC +02:00;194;2;34;0;-43.13;40.00;859;859;34;0;0;0;23.07;8.56
06/06/2024;18:00:00 - 18:15:00;UTC +02:00;7;281;1;199;-10.29;20.50;1004;1004;1;199;0;0;24.71;11.34
06/06/2024;18:15:00 - 18:30:00;UTC +02:00;8;198;0;161;-78.20;36.12;1237;1237;0;161;0;0;25.85;16.03
