Volumes et prix des offres standards du 01/06/2024
Heure de début;Heure de fin;Volume du besoin total demandé par RTE à la plateforme (en MW);Le sens d’activation « à la hausse » et « à la baisse »;Volume total satisfait par la plateforme (en MW);Volume total activé en France par la plateforme, tout besoin confondu (en MW);Volume total activé en France par la plateforme, pour motif P=C (en MW);Volume total activé en France par la plateforme, pour motif RSO international (en MW);Prix clearing (en Euros/MWh);Volume demandé au prix 1 par RTE à la plateforme (en MW);Prix 1 (en Euros/MWh);Volume satisfait par la plateforme à ce prix 1 (en MW);Volume demandé au prix 2 par RTE à la plateforme (en MW);Prix 2 (en Euros/MWh);Volume satisfait par la plateforme à ce prix 2 (en MW);Volume demandé au prix 3 par RTE à la plateforme (en MW);Prix 3 (en Euros/MWh);Volume satisfait par la plateforme à ce prix 3 (en MW);Volume demandé au prix 4 par RTE à la plateforme (en MW);Prix 4 (en Euros/MWh);Volume satisfait par la plateforme à ce prix 4 (en MW);Volume demandé au prix 5 par RTE à la plateforme (en MW);Prix 5 (en Euros/MWh);Volume satisfait par la plateforme à ce prix 5 (en MW);Volume demandé au prix 6 par RTE à la plateforme (en MW);Prix 6 (en Euros/MWh);Volume satisfait par la plateforme à ce prix 6 (en MW);Volume demandé au prix 7 par RTE à la plateforme (en MW);Prix 7 (en Euros/MWh);Volume satisfait par la plateforme à ce prix 7 (en MW);Volume demandé au prix 8 par RTE à la plateforme (en MW);Prix 8 (en Euros/MWh);Volume satisfait par la plateforme à ce prix 8 (en MW);Volume demandé au prix 9 par RTE à la plateforme (en MW);Prix 9 (en Euros/MWh);Volume satisfait par la plateforme à ce prix 9 (en MW);Volume demandé au prix 10 par RTE à la plateforme (en MW);Prix 10 (en Euros/MWh);Volume satisfait par la plateforme à ce prix 10 (en MW);Volume demandé au prix 11 par RTE à la plateforme (en MW);Prix 11 (en Euros/MWh);Volume satisfait par la plateforme à ce prix 11 (en MW);Volume demandé au prix 12 par RTE à la plateforme (en MW);Prix 12 (en Euros/MWh);Volume satisfait par la plateforme à ce prix 12 (en MW)
05/06/2024 19:45;05/06/2024 20:00;N/A;UPWARD;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
05/06/2024 20:00;05/06/2024 20:15;N/A;DOWNWARD;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
05/06/2024 20:00;05/06/2024 20:15;N/A;UPWARD;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
05/06/2024 20:15;05/06/2024 20:30;N/A;DOWNWARD;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
05/06/2024 20:15;05/06/2024 20:30;N/A;UPWARD;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
05/06/2024 20:30;05/06/2024 20:45;N/A;UPWARD;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
05/06/2024 20:30;05/06/2024 20:45;N/A;DOWNWARD;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
05/06/2024 20:45;05/06/2024 21:00;N/A;DOWNWARD;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
05/06/2024 20:45;05/06/2024 21:00;N/A;UPWARD;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
05/06/2024 21:00;05/06/2024 21:15;N/A;DOWNWARD;N/A;N/A;N/A;N/A;17.90;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
05/06/2024 21:00;05/06/2024 21:15;N/A;UPWARD;N/A;N/A;N/A;N/A;17.90;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
05/06/2024 21:15;05/06/2024 21:30;N/A;UPWARD;N/A;N/A;N/A;N/A;19.79;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
05/06/2024 21:15;05/06/2024 21:30;N/A;DOWNWARD;N/A;N/A;N/A;N/A;19.79;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
05/06/2024 21:30;05/06/2024 21:45;N/A;DOWNWARD;N/A;N/A;N/A;N/A;18.85;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
05/06/2024 21:30;05/06/2024 21:45;N/A;UPWARD;N/A;N/A;N/A;N/A;18.85;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
05/06/2024 21:45;05/06/2024 22:00;N/A;DOWNWARD;N/A;N/A;N/A;N/A;18.85;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
05/06/2024 21:45;05/06/2024 22:00;N/A;UPWARD;N/A;N/A;N/A;N/A;18.85;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
05/06/2024 22:00;05/06/2024 22:15;400.00;UPWARD;400.00;N/A;N/A;N/A;91.70;400.00;509.84;400.00;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
05/06/2024 22:00;05/06/2024 22:15;N/A;DOWNWARD;N/A;N/A;N/A;N/A;91.70;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
05/06/2024 22:15;05/06/2024 22:30;400.00;UPWARD;400.00;N/A;N/A;N/A;91.70;400.00;509.84;400.00;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
05/06/2024 22:15;05/06/2024 22:30;N/A;DOWNWARD;N/A;N/A;N/A;N/A;91.70;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
05/06/2024 22:30;05/06/2024 22:45;N/A;DOWNWARD;N/A;N/A;N/A;N/A;121.61;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
05/06/2024 22:30;05/06/2024 22:45;400.00;UPWARD;400.00;N/A;N/A;N/A;121.61;400.00;509.84;400.00;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
05/06/2024 22:45;05/06/2024 23:00;N/A;DOWNWARD;N/A;N/A;N/A;N/A;121.61;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
05/06/2024 22:45;05/06/2024 23:00;400.00;UPWARD;400.00;N/A;N/A;N/A;121.61;400.00;509.84;400.00;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
05/06/2024 23:00;05/06/2024 23:15;N/A;UPWARD;N/A;N/A;N/A;N/A;83.80;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
05/06/2024 23:00;05/06/2024 23:15;N/A;DOWNWARD;N/A;N/A;N/A;N/A;83.80;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
05/06/2024 23:15;05/06/2024 23:30;N/A;UPWARD;N/A;N/A;N/A;N/A;81.92;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
05/06/2024 23:15;05/06/2024 23:30;N/A;DOWNWARD;N/A;N/A;N/A;N/A;81.92;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
05/06/2024 23:30;05/06/2024 23:45;N/A;DOWNWARD;N/A;N/A;N/A;N/A;83.22;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
05/06/2024 23:30;05/06/2024 23:45;N/A;UPWARD;N/A;N/A;N/A;N/A;83.22;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
05/06/2024 23:45;06/06/2024 00:00;N/A;DOWNWARD;N/A;N/A;N/A;N/A;82.51;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
05/06/2024 23:45;06/06/2024 00:00;N/A;UPWARD;N/A;N/A;N/A;N/A;82.51;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
06/06/2024 00:00;06/06/2024 00:15;N/A;DOWNWARD;N/A;N/A;N/A;N/A;84.95;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
06/06/2024 00:00;06/06/2024 00:15;N/A;UPWARD;N/A;N/A;N/A;N/A;84.95;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
06/06/2024 00:15;06/06/2024 00:30;N/A;UPWARD;N/A;N/A;N/A;N/A;80.15;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
06/06/2024 00:15;06/06/2024 00:30;N/A;DOWNWARD;N/A;N/A;N/A;N/A;80.15;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
06/06/2024 00:30;06/06/2024 00:45;N/A;DOWNWARD;N/A;N/A;N/A;N/A;82.55;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
06/06/2024 00:30;06/06/2024 00:45;N/A;UPWARD;N/A;N/A;N/A;N/A;82.55;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
06/06/2024 00:45;06/06/2024 01:00;N/A;DOWNWARD;N/A;N/A;N/A;N/A;82.55;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
06/06/2024 00:45;06/06/2024 01:00;N/A;UPWARD;N/A;N/A;N/A;N/A;82.55;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
06/06/2024 01:00;06/06/2024 01:15;N/A;DOWNWARD;N/A;N/A;N/A;N/A;104.33;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
06/06/2024 01:00;06/06/2024 01:15;400.00;UPWARD;400.00;N/A;N/A;N/A;104.33;400.00;250.84;400.00;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
06/06/2024 01:15;06/06/2024 01:30;N/A;DOWNWARD;N/A;N/A;N/A;N/A;104.33;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
06/06/2024 01:15;06/06/2024 01:30;400.00;UPWARD;400.00;N/A;N/A;N/A;104.33;400.00;250.84;400.00;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
06/06/2024 01:30;06/06/2024 01:45;400.00;UPWARD;400.00;N/A;N/A;N/A;104.33;400.00;250.84;400.00;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
06/06/2024 01:30;06/06/2024 01:45;N/A;DOWNWARD;N/A;N/A;N/A;N/A;104.33;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
06/06/2024 01:45;06/06/2024 02:00;N/A;DOWNWARD;N/A;N/A;N/A;N/A;104.33;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
06/06/2024 01:45;06/06/2024 02:00;400.00;UPWARD;400.00;N/A;N/A;N/A;104.33;400.00;250.84;400.00;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
06/06/2024 02:00;06/06/2024 02:15;N/A;DOWNWARD;N/A;N/A;N/A;N/A;91.55;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
06/06/2024 02:00;06/06/2024 02:15;200.00;UPWARD;200.00;130.99;130.99;N/A;91.55;200.00;93.52;200.00;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
06/06/2024 02:15;06/06/2024 02:30;200.00;UPWARD;200.00;130.99;130.99;N/A;91.55;200.00;93.52;200.00;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
06/06/2024 02:15;06/06/2024 02:30;N/A;DOWNWARD;N/A;N/A;N/A;N/A;91.55;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
06/06/2024 02:30;06/06/2024 02:45;200.00;UPWARD;200.00;177.00;177.00;N/A;82.55;200.00;93.52;200.00;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
06/06/2024 02:30;06/06/2024 02:45;N/A;DOWNWARD;N/A;N/A;N/A;N/A;82.55;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
06/06/2024 02:45;06/06/2024 03:00;200.00;UPWARD;200.00;177.00;177.00;N/A;82.55;200.00;93.52;200.00;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
06/06/2024 02:45;06/06/2024 03:00;N/A;DOWNWARD;N/A;N/A;N/A;N/A;82.55;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
06/06/2024 03:00;06/06/2024 03:15;N/A;DOWNWARD;N/A;N/A;N/A;N/A;78.72;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
06/06/2024 03:00;06/06/2024 03:15;400.00;UPWARD;280.00;280.00;280.00;N/A;78.72;400.00;78.72;280.00;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
06/06/2024 03:15;06/06/2024 03:30;N/A;DOWNWARD;N/A;N/A;N/A;N/A;78.72;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
06/06/2024 03:15;06/06/2024 03:30;400.00;UPWARD;280.00;280.00;280.00;N/A;78.72;400.00;78.72;280.00;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
06/06/2024 03:30;06/06/2024 03:45;400.00;UPWARD;280.00;280.00;280.00;N/A;78.72;400.00;78.72;280.00;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
06/06/2024 03:30;06/06/2024 03:45;N/A;DOWNWARD;N/A;N/A;N/A;N/A;78.72;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
06/06/2024 03:45;06/06/2024 04:00;N/A;DOWNWARD;N/A;N/A;N/A;N/A;78.72;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
06/06/2024 03:45;06/06/2024 04:00;400.00;UPWARD;280.00;280.00;280.00;N/A;78.72;400.00;78.72;280.00;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
